Designator,Mid X,Mid Y,Rotation,Layer
C5,131.829485,-90.389163,-90.000000,top
C6,131.715095,-83.840714,-90.000000,top
C7,113.772563,-64.384269,-90.000000,top
C8,144.410185,-61.006724,180.000000,top
C9,125.041745,-85.223770,90.000000,top
C10,113.000000,-81.500000,0.000000,top
C11,113.000000,-74.400000,0.000000,top
D2,135.587500,-74.800000,180.000000,top
D3,113.025000,-68.925000,0.000000,top
D4,136.200000,-83.900000,180.000000,top
J1,135.800000,-72.300000,180.000000,top
J2,145.010185,-67.006724,270.000000,top
MK1,118.692734,-84.060871,90.000000,top
Q1,136.162500,-81.100000,180.000000,top
R1,141.410185,-61.006724,180.000000,top
R2,133.558400,-90.349543,-90.000000,top
R3,129.603577,-91.282662,180.000000,top
R4,129.603577,-89.495665,0.000000,top
R5,112.262622,-64.400681,-90.000000,top
R6,137.200000,-78.200000,-90.000000,top
R7,135.600000,-76.100000,0.000000,top
R8,113.025000,-67.450000,0.000000,top
R9,135.000000,-78.200000,-90.000000,top
R10,139.010185,-62.506724,90.000000,top
R11,139.010185,-71.006724,-90.000000,top
R12,,113.800000,-83.800000,-90.000000,top
R13,112.100000,-83.800000,-90.000000,top
R14,125.244502,-94.436476,180.000000,top
R15,128.288368,-94.449546,180.000000,top
SW2,-83.797690,0.000000,top
U2,126.297678,-90.378931,180.000000,top
U4,113.000000,-78.000000,90.000000,top
U5,124.307235,-71.638632,0.000000,top
